['Num Ratings', 'Sum Ratings']
[1, 4.0]
[0, 0]
[4, 13.0]
[13, 39.0]
[4, 14.0]
[1, 4.0]
[1, 5.0]
[3, 13.0]
[14, 45.0]
[7, 27.0]
[11, 39.0]
[2, 10.0]
[4, 13.0]
[1, 1.0]
[6, 19.0]
[2, 8.0]
[11, 39.0]
[4, 17.0]
[11, 41.0]
[0, 0]
[0, 0]
[1, 4.0]
[4, 10.0]
[0, 0]
[1, 5.0]
[1, 4.0]
[0, 0]
[5, 18.0]
[2, 5.0]
[10, 41.0]
[3, 10.0]
[5, 14.0]
[12, 38.0]
[1, 5.0]
[10, 33.0]
[0, 0]
[9, 30.0]
[0, 0]
[1, 3.0]
[2, 9.0]
[1, 5.0]
[1, 5.0]
[0, 0]
[0, 0]
[8, 29.0]
[0, 0]
[10, 28.0]
[3, 8.0]
[0, 0]
[2, 8.0]
[10, 37.0]
[7, 22.0]
[1, 4.0]
[1, 4.0]
[5, 17.0]
[18, 57.0]
[2, 7.0]
[7, 29.0]
[9, 32.0]
[0, 0]
[7, 24.0]
[1, 5.0]
[1, 5.0]
[1, 4.0]
[1, 4.0]
[9, 36.0]
[1, 5.0]
[13, 40.0]
[1, 5.0]
[1, 5.0]
[1, 5.0]
[2, 7.0]
[4, 15.0]
[3, 13.0]
[1, 3.0]
[1, 1.0]
[2, 7.0]
[1, 5.0]
[3, 10.0]
[0, 0]
[0, 0]
[17, 60.0]
[2, 7.0]
[3, 7.0]
[0, 0]
[0, 0]
[15, 64.0]
[2, 10.0]
[14, 44.0]
[2, 7.0]
[6, 23.0]
[5, 15.0]
[6, 20.0]
[5, 17.0]
[3, 14.0]
[2, 10.0]
[0, 0]
[0, 0]
[2, 9.0]
[1, 5.0]
[2, 7.0]
[0, 0]
[1, 3.0]
[0, 0]
[0, 0]
[11, 44.0]
[5, 20.0]
[15, 57.0]
[0, 0]
[4, 13.0]
[10, 39.0]
[0, 0]
[2, 7.0]
[4, 14.0]
[2, 6.0]
[4, 13.0]
[2, 7.0]
[3, 12.0]
[19, 55.0]
[0, 0]
[14, 49.0]
[8, 28.0]
[1, 5.0]
[1, 4.0]
[0, 0]
[0, 0]
[2, 6.0]
[4, 18.0]
[1, 4.0]
[2, 10.0]
[0, 0]
[0, 0]
[3, 13.0]
[42, 181.0]
[4, 10.0]
[7, 25.0]
[0, 0]
[3, 14.0]
[0, 0]
[9, 32.0]
[1, 5.0]
[1, 2.0]
[0, 0]
[7, 26.0]
[12, 49.0]
[7, 27.0]
[4, 15.0]
[1, 3.0]
[2, 7.0]
[1, 3.0]
[2, 10.0]
[9, 26.0]
[3, 9.0]
[0, 0]
[1, 4.0]
[1, 5.0]
[5, 23.0]
[0, 0]
[12, 52.0]
[0, 0]
[10, 35.0]
[7, 29.0]
[1, 5.0]
[0, 0]
[1, 4.0]
[1, 4.0]
[1, 5.0]
[3, 12.0]
[0, 0]
[7, 28.0]
[0, 0]
[4, 14.0]
[1, 3.0]
[13, 47.0]
[3, 14.0]
[2, 10.0]
[0, 0]
[0, 0]
[3, 12.0]
[5, 19.0]
[0, 0]
[3, 12.0]
[1, 3.0]
[11, 39.0]
[1, 2.0]
[1, 4.0]
[2, 3.0]
[4, 16.0]
[1, 5.0]
[1, 2.0]
[10, 37.0]
[1, 4.0]
[11, 39.0]
[5, 20.0]
[12, 42.0]
[4, 11.0]
[2, 8.0]
[2, 9.0]
[1, 5.0]
[5, 15.0]
[3, 7.0]
[0, 0]
[1, 3.0]
[4, 15.0]
[2, 5.0]
[6, 21.0]
[1, 4.0]
[1, 3.0]
[0, 0]
[1, 3.0]
[7, 30.0]
[0, 0]
[1, 2.0]
[1, 1.0]
[15, 52.0]
[1, 5.0]
[0, 0]
[12, 44.0]
[0, 0]
[1, 3.0]
[0, 0]
[0, 0]
[11, 42.0]
[1, 4.0]
[0, 0]
[0, 0]
[2, 9.0]
[1, 4.0]
[11, 34.0]
[3, 12.0]
[1, 4.0]
[1, 1.0]
[5, 19.0]
[0, 0]
[3, 9.0]
[0, 0]
[1, 5.0]
[3, 12.0]
[5, 20.0]
[0, 0]
[4, 15.0]
[2, 8.0]
[0, 0]
[6, 23.0]
[1, 5.0]
[1, 3.0]
[0, 0]
[9, 33.0]
[1, 4.0]
[14, 48.0]
[5, 14.0]
[21, 79.0]
[1, 3.0]
[0, 0]
[7, 23.0]
[0, 0]
[1, 4.0]
[1, 2.0]
[0, 0]
[1, 2.0]
[1, 3.0]
[1, 3.0]
[0, 0]
[5, 17.0]
[5, 17.0]
[0, 0]
[0, 0]
[6, 23.0]
[0, 0]
[0, 0]
[8, 31.0]
[4, 17.0]
[15, 69.0]
[9, 30.0]
[18, 69.0]
[5, 16.0]
[0, 0]
[5, 22.0]
[0, 0]
[3, 7.0]
[1, 2.0]
[0, 0]
[1, 3.0]
[9, 30.0]
[2, 4.0]
[0, 0]
[0, 0]
[5, 20.0]
[4, 17.0]
[0, 0]
[1, 3.0]
[0, 0]
[8, 34.0]
[6, 25.0]
[1, 4.0]
[1, 2.0]
[0, 0]
[1, 5.0]
[5, 24.0]
[1, 2.0]
[26, 89.0]
[1, 4.0]
[9, 34.0]
[3, 14.0]
[0, 0]
[3, 10.0]
[1, 5.0]
[1, 5.0]
[0, 0]
[2, 9.0]
[0, 0]
[0, 0]
[1, 4.0]
[9, 30.0]
[6, 22.0]
[0, 0]
[0, 0]
[0, 0]
[4, 16.0]
[1, 3.0]
[21, 80.0]
[0, 0]
[12, 45.0]
[1, 1.0]
[10, 33.0]
[0, 0]
[1, 4.0]
[6, 23.0]
[0, 0]
[0, 0]
[11, 37.0]
[2, 5.0]
